(4.888927853e-08,9.65291834843e-12)
(-4.88892796854e-08,-9.65315843584e-12)
(1.09704985535,-1.70902478162e-15)
(1.0972197376,-8.76426062463e-16)
(1.09736072,8.86467716228e-16)
(-1.09704985535,-1.12270020859e-15)
(-1.0972197376,-1.20459508938e-15)
(-1.09736072,-1.02258372131e-14)
(2.06161933933,-5.99041422701e-15)
(2.06188380753,-7.32525945808e-16)
(2.06196187965,1.55274618743e-15)
(2.06217477772,1.60797898929e-14)
(2.06230312146,1.5870078504e-16)
(-2.06161933933,-8.4496576107e-16)
(-2.06188380753,-1.49068844191e-14)
(-2.06196187965,-7.13414602792e-15)
(-2.06217477772,3.60638120932e-15)
(-2.06230312146,1.45139312143e-14)
(2.54466667745,2.18095066309e-13)
(-2.54466667745,3.78290794104e-13)
(3.18034010323,-3.95591452577e-12)
(3.18052068333,-1.02434880348e-11)
(3.18146506103,9.92863513156e-16)
(3.18158246483,1.99443818551e-15)
(3.18171934792,2.15606120363e-15)
(3.18358666315,1.65388889427e-15)
(3.1840010991,-2.14189945858e-15)
(-3.18034010328,-1.13476608796e-12)
(-3.18052068333,1.1902464806e-12)
(-3.18146506103,1.58457075385e-15)
